Factory Direct Homes Center - Retail Price Sheet 2026
Effective Date: April 16, 2026

ASPIRE SINGLE WIDE - 14' SERIES (HUD Code)
Model,Sq Ft,Beds,Baths,Width,Length,MSRP,FDHC Price,Savings
56' Ventura,1568,3,2,28',56',"$110,779","$99,701","$11,078"
56' Pontiac,1568,3,2,28',56',"$111,281","$100,153","$11,128"
56' Bay Port,1568,3,2,28',56',"$117,797","$106,017","$11,780"
56' Lincoln,1568,3,2,28',56',"$110,277","$99,249","$11,028"
56' Warren,1568,3,2,28',56',"$110,779","$99,701","$11,078"
56' Jackson,1568,3,2,28',56',"$111,281","$100,153","$11,128"
56' Silverton,1568,4,2,28',56',"$108,273","$97,446","$10,827"
56' Easton,1568,3,2,28',56',"$116,795","$105,116","$11,680"
Belvidere,1568,3,2,28',56',"$112,284","$101,056","$11,228"
56' Summit,1568,3,2,28',56',"$110,277","$99,249","$11,028"
60' Woodward,1680,3,2,28',60',"$117,297","$105,567","$11,730"
60' Bay Port,1680,3,2,28',60',"$123,312","$110,981","$12,331"
60' Warren,1680,3,2,28',60',"$116,294","$104,665","$11,629"
60' Silverton,1680,4,2,28',60',"$115,291","$103,762","$11,529"
60' Easton,1680,3,2,28',60',"$122,309","$110,078","$12,231"
60' Odyssey,1680,3,2,28',60',"$115,291","$103,762","$11,529"
64' Woodward,1792,3,2,28',64',"$124,316","$111,884","$12,432"
Fillmore,1792,3,2,28',64',"$126,823","$114,141","$12,682"
Georgetown,1792,3,2,28',64',"$125,319","$112,787","$12,532"
64' Summit,1792,3,2,28',64',"$123,814","$111,433","$12,381"
68' Woodward,1904,3,2,28',68',"$133,335","$120,002","$13,334"
68' Odyssey,1904,3,2,28',68',"$128,322","$115,490","$12,832"
68' Summit,1904,3,2,28',68',"$130,327","$117,294","$13,033"
Baldwin,2128,4,3,28',76',"$139,853","$125,868","$13,985"

ASPIRE SECTIONAL - MODULAR SERIES (IRC Code)
Model,Sq Ft,Beds,Baths,Width,Length,MSRP,FDHC Price,Savings
32' Casper,768,2,1,32',32',"$68,175","$61,358","$6,818"
36' Casper,864,2,2,32',36',"$72,182","$64,964","$7,218"
40' Sheridan,960,3,2,32',40',"$81,198","$73,078","$8,120"
44' Sundance,1056,3,2,32',44',"$89,214","$80,293","$8,921"
44' Sheridan,1056,3,2,32',44',"$85,707","$77,136","$8,571"
48' Sundance,1152,3,2,32',48',"$96,230","$86,607","$9,623"
48' Sheridan,1152,3,2,32',48',"$93,224","$83,902","$9,322"
Fairplay,1152,3,2,32',48',"$93,724","$84,352","$9,372"
52' Broomfield,1248,3,2,32',52',"$100,239","$90,215","$10,024"
52' Sundance,1248,3,2,32',52',"$101,742","$91,568","$10,174"
56' Broomfield,1344,3,2,32',56',"$107,255","$96,530","$10,726"
Brooklyn,1344,3,2,32',56',"$115,773","$104,196","$11,577"
Glenrock,1440,3,2,32',60',"$113,268","$101,941","$11,327"
52' Thornton,1664,4,2,32',64',"$109,261","$98,335","$10,926"
56' Thornton,1792,4,2,32',68',"$114,273","$102,846","$11,427"
60' Shelby,1920,4,2,32',72',"$127,302","$114,572","$12,730"
Timberlake,1920,4,3,32',72',"$121,289","$109,160","$12,129"
Odyssey,1920,4,3,32',72',"$121,289","$109,160","$12,129"
64' Henderson,2048,4,3,32',76',"$126,301","$113,671","$12,630"
64' Shelby,2048,4,3,32',76',"$130,311","$117,280","$13,031"
Madison,2176,5,3,32',80',"$136,324","$122,692","$13,632"
68' Shelby,2176,5,3,32',80',"$139,331","$125,398","$13,933"
68' Henderson,2176,5,3,32',80',"$132,817","$119,535","$13,282"
Winston,2304,5,3,32',84',"$148,354","$133,519","$14,835"
Verona,2432,5,3,32',88',"$148,354","$133,519","$14,835"
76' Henderson,2432,5,3,32',88',"$148,855","$133,970","$14,886"

PRIME SERIES - SINGLE WIDE (HUD Code)
Model,Sq Ft,Beds,Baths,Width,Length,MSRP,FDHC Price,Savings
Peak,784,2,1,16',52',"$49,812","$44,831","$4,981"
Peak Reverse Aisle,784,2,1,16',52',"$49,812","$44,831","$4,981"
Crest,840,2,2,16',56',"$52,962","$47,666","$5,296"
Crest Reverse Aisle,840,2,2,16',56',"$52,962","$47,666","$5,296"
Zenith,924,3,2,16',60',"$56,637","$50,973","$5,664"
Zenith Reverse Aisle,924,3,2,16',60',"$56,637","$50,973","$5,664"
Pike,576,2,1,14',44',"$43,867","$39,480","$4,387"
Fulton,768,2,2,16',48',"$49,642","$44,678","$4,964"
Fulton Reverse Aisle,768,2,2,16',48',"$49,642","$44,678","$4,964"
Gallatin,832,2,2,16',52',"$51,292","$46,163","$5,129"
Gallatin Reverse Aisle,832,2,2,16',52',"$51,292","$46,163","$5,129"
Barkley,896,3,2,16',56',"$52,898","$47,608","$5,290"
Barkley Reverse Aisle,896,3,2,16',56',"$52,898","$47,608","$5,290"
Spire,960,3,2,16',60',"$54,982","$49,484","$5,498"
Spire Reverse Aisle,960,3,2,16',60',"$54,982","$49,484","$5,498"
Casey,960,3,2,16',60',"$56,432","$50,789","$5,643"
Vertex,1056,3,2,18',60',"$61,157","$55,041","$6,116"
Vertex Reverse Aisle,1056,3,2,18',60',"$61,157","$55,041","$6,116"
Hickman,1056,3,2,18',60',"$64,257","$57,831","$6,426"
Pendleton,1056,3,2,18',60',"$64,257","$57,831","$6,426"
Bardstown,1152,3,2,18',64',"$62,157","$55,941","$6,216"
Bardstown Reverse Aisle,1152,3,2,18',64',"$62,157","$55,941","$6,216"
Ballard,1152,3,2,18',64',"$65,257","$58,731","$6,526"
Powell,1152,3,2,18',64',"$65,257","$58,731","$6,526"
Ridge,1216,3,2,18',68',"$65,943","$59,349","$6,594"
Ridge Reverse Aisle,1216,3,2,18',68',"$65,943","$59,349","$6,594"
Monte,1216,3,2,18',68',"$67,732","$60,959","$6,773"
Monte Reverse Aisle,1216,3,2,18',68',"$67,732","$60,959","$6,773"
Somerset,1216,3,2,18',68',"$68,232","$61,409","$6,823"
Floyd,1216,3,2,18',68',"$68,232","$61,409","$6,823"
Plateau,1152,4,2,18',64',"$77,030","$69,327","$7,703"
Horizon,1344,4,2,18',76',"$82,207","$73,986","$8,221"
Estill,1232,4,2,18',68',"$75,419","$67,877","$7,542"
Churchill,1344,4,2,18',76',"$79,107","$71,196","$7,911"
Mercer,1456,4,2,18',80',"$81,442","$73,298","$8,144"
Apex,1568,4,2,18',88',"$83,862","$75,476","$8,386"
Crown,1568,4,2,18',88',"$85,212","$76,691","$8,521"
The Grand,1904,5,3,18',108',"$99,532","$89,579","$9,953"
Pinnacle,1568,4,2,18',88',"$108,442","$97,598","$10,844"

---
NOTES FOR SALES STAFF:
- All prices are for base home only (factory cost + pack + markup)
- Does NOT include: delivery, setup, foundation, utilities, site work
- FDHC Price = 10% off MSRP (factory-direct savings)
- Additional sales campaigns may apply - check current promotions
- All homes built by Champion Homes in Topeka, IN
- HUD Code = Manufactured home (can use chattel or FHA Title I)
- IRC Code = Modular home (qualifies for conventional mortgage)
- Surcharges included: $0.50/sqft (single wide), $0.65/sqft (sectional/modular)

Contact: (260) 308-1457 | kdudgeon@factorydirecthomescenter.com
